Size  Linear  Binary
1000 1482746 53545
11000 1259739 73327
21000 2488193 24917
31000 177774 30110
41000 145747 383195
51000 187106 21640
61000 124864 62865
71000 135724 64772
81000 121759 21475
91000 119411 33080
101000 128834 21770
111000 109818 20749
121000 636829 27810
131000 118520 29127
141000 146586 21566
151000 137532 27614
161000 130955 61426
171000 128582 15467
181000 128170 16977
191000 159674 38029
201000 133525 16893
211000 147752 16523
221000 133062 16473
231000 134160 17740
241000 151106 16971
251000 203688 16612
261000 128993 16543
271000 138942 17105
281000 132891 22212
291000 213240 20842
301000 198947 24701
311000 170641 16730
321000 158366 20790
331000 193263 17026
341000 183189 18013
351000 253729 24410
361000 178543 14940
371000 141126 18156
381000 147316 17939
391000 176677 18716
401000 516387 25956
411000 170922 18467
421000 192136 69734
431000 179593 17031
441000 185741 17661
451000 196950 36194
461000 212269 19246
471000 180708 18521
481000 166620 18658
491000 185824 18896
501000 183993 25534
511000 200892 19610
521000 174003 19731
531000 186803 18424
541000 185873 15311
551000 185885 18908
561000 258189 19694
571000 172688 18416
581000 208024 18615
591000 217800 18796
601000 369774 67618
611000 202135 18024
621000 212580 19132
631000 279598 19885
641000 236318 17873
651000 378644 19291
661000 248184 18467
671000 218991 17986
681000 244384 19799
691000 229221 20321
701000 245351 18597
711000 300539 19699
721000 251900 111668
731000 231912 17868
741000 420812 22938
751000 321974 20881
761000 281432 21094
771000 331016 24944
781000 246543 19198
791000 245876 55274
801000 246938 20507
811000 405675 29063
821000 383127 21758
831000 325118 23968
841000 308127 99063
851000 307778 20910
861000 328605 30330
871000 296310 22292
881000 282354 21396
891000 328862 21445
901000 430631 58358
911000 373492 29050
921000 1660513 39513
931000 399293 24365
941000 453796 37432
951000 442870 27260
961000 364979 28996
971000 489737 36291
981000 399152 26445
991000 440097 22937
