Size Binary Hash
1000 10642 36618
11000 11515 39629
21000 10669 83397
31000 16403 45071
41000 11240 64477
51000 12520 19493
61000 9250 14601
71000 9090 13589
81000 9487 15972
91000 9782 18259
101000 9592 33149
111000 9662 19894
121000 10688 58278
131000 10817 50561
141000 10278 18799
151000 12542 19176
161000 10868 16950
171000 11443 25415
181000 37248 16683
191000 10851 21667
201000 9862 18171
211000 10874 19400
221000 12598 20941
231000 12277 53639
241000 12399 38823
251000 11213 17293
261000 10698 16238
271000 13803 19263
281000 12791 18667
291000 10785 18798
301000 16377 17775
311000 12019 18159
321000 11330 19045
331000 11617 21127
341000 11717 19240
351000 25519 18874
361000 12280 19466
371000 11752 20414
381000 12333 20344
391000 13698 20498
401000 12158 24301
411000 11675 22906
421000 15333 20719
431000 14133 22245
441000 11650 20078
451000 12179 24171
461000 11984 23061
471000 13322 22266
481000 11910 24992
491000 36684 32188
501000 16215 22349
511000 12407 25574
521000 13158 24822
531000 13276 26244
541000 12576 24264
551000 11911 24452
561000 13618 32695
571000 13407 29903
581000 13781 54599
591000 16767 28672
601000 35800 26434
611000 15623 25537
621000 19952 30405
631000 14463 30236
641000 13828 36043
651000 15283 31635
661000 21190 28349
671000 13113 31414
681000 22808 32018
691000 13564 29181
701000 14017 30456
711000 14155 31561
721000 13974 31269
731000 12693 31961
741000 14959 39405
751000 13945 33637
761000 46783 62372
771000 16250 36070
781000 52168 33040
791000 15793 35722
801000 44912 32586
811000 27270 33728
821000 15553 38802
831000 14348 31615
841000 16615 32260
851000 15332 35909
861000 18892 37653
871000 14947 37236
881000 14394 33601
891000 16991 33749
901000 13683 33700
911000 21652 36552
921000 29910 36964
931000 14958 37256
941000 17728 39672
951000 29235 38737
961000 29401 38842
971000 25080 38363
981000 20236 62206
991000 15506 99045
